id;street_address;postal_code;city;state_province
1;even;carro uh-huh;Silva de Nossa Senhora;enxergar overconfidently yet
2;pfft so;wherever;Lucca do Sul;lento throughout
3;largo;for abnormally economia;Souza do Descoberto;that finally whoa
4;mal-educado loudly times;refrigerante incidentally;Júlio do Sul;which inside garrafa
5;unless monocromático instead;sofá;Souza do Norte;inasmuch
6;tremendously derreter;reunir;Ricardo do Norte;off considerar dirigir
7;swiftly mortally save;comunicar boohoo;Eloá de Nossa Senhora;by perguntar degustar
8;magro continually;apropos oferecer loftily;Melo do Norte;década doubtfully
9;once mechanically;devolver er;Costa do Descoberto;subir
10;intensely preocupar after;next;Batista de Nossa Senhora;since confiar
